procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,quantity_kg,quantity_missing,cost_missing,payment_status_missing
MDM008522,2026-01-14,SCH0249,Singh Brothers,Wheat,,,336.0,UNKNOWN,,True,False,False
MDM010158,2025-08-10,SCH0140,kumar general store,Wheat,40.7,Kg,1221.0,PAID,40.7,False,False,False
MDM007882,2025-03-11,SCH0514,kumar general store,Cooking Oil,54.2,Kg,6504.0,PAID,54.2,False,False,False
MDM004875,2026-03-19,SCH0445,Sharma Traders,Rice,0.8,50kg Bags,1600.0,DUE,40.0,False,False,False
MDM011422,2025-08-16,SCH0172,Kumar Supplies,Rice,,,2104.0,PAID,,True,False,False
MDM007746,2025-04-10,SCH0357,Kumar Supplies,Rice,14.9,Kg,596.0,PAID,14.9,False,False,False
MDM003693,2025-08-05,SCH0267,Sharma Traders,Dal,,,2826.0,UNKNOWN,,True,False,True
MDM001497,2025-09-12,SCH0210,Singh Agro,Rice,16100.0,Grams,644.0,DUE,16.1,False,False,False
MDM001214,2025-06-25,SCH0301,Singh Agro,Dal,14.2,Kg,1278.0,UNKNOWN,14.2,False,False,False
MDM005465,2025-06-14,SCH0233,Singh Agro,Wheat,57.0,Kg,1710.0,UNKNOWN,57.0,False,False,True
MDM011101,2025-10-10,SCH0283,Sharma & Sons,Atta,28.5,Kg,855.0,UNKNOWN,28.5,False,False,False
MDM011169,2026-11-02,SCH0113,S. Agro Works,Rice,33.0,Kg,1320.0,DUE,33.0,False,False,False
MDM004084,2025-06-04,SCH0037,Singh Brothers,Wheat,39.6,Kg,1188.0,PAID,39.6,False,False,False
MDM008099,2025-08-27,SCH0340,Sharma Traders,Wheat,21.5,Kg,645.0,PAID,21.5,False,False,False
MDM009206,2025-08-27,SCH0366,Goyal Rice Mill,Pulses,0.5539999999999999,Bori,2493.0,PAID,27.7,False,False,False
MDM002217,2025-10-01,SCH0462,Singh Agro,Rice,,,1800.0,PAID,,True,False,False
MDM001670,2026-03-23,SCH0228,goyal mill,Mustard Oil,37.0,Kg,4440.0,UNKNOWN,37.0,False,False,False
MDM000813,2025-11-25,SCH0492,Sharma Traders,Wheat,0.8959999999999999,Sacks,1344.0,PAID,44.8,False,False,False
MDM011888,2026-02-06,SCH0321,Sharma & Sons,Cooking Oil,41900.0,Grams,,DUE,41.9,False,True,False
MDM008145,2025-03-10,SCH0462,Goyal Rice Mill,Mustard Oil,16.3,Kg,,PENDING,16.3,False,True,False
MDM002981,2025-12-16,SCH0183,Singh Brothers,Dal,,,3159.0,PENDING,,True,False,False
MDM005964,2026-02-16,SCH0424,S. Agro Works,Wheat,52.5,Kg,1575.0,PENDING,52.5,False,False,False
MDM007657,2025-10-07,SCH0117,S. Agro Works,Cooking Oil,46.6,Kg,5592.0,PENDING,46.6,False,False,False
MDM006963,2025-04-29,SCH0061,Kumar & Co.,Cooking Oil,0.7120000000000001,Bags,4272.0,PAID,35.6,False,False,False
MDM000742,2026-03-20,SCH0076,S. Agro Works,Pulses,34.2,Kg,3078.0,UNKNOWN,34.2,False,False,True
MDM005298,2026-03-20,SCH0378,Kumar Supplies,Cooking Oil,41000.0,Grams,4920.0,PENDING,41.0,False,False,False
MDM011357,2026-02-06,SCH0105,Kumar & Co.,Cooking Oil,52.2,Kg,6264.0,UNKNOWN,52.2,False,False,True
MDM004065,2025-07-30,SCH0421,Kumar Supplies,Dal,47.9,Kg,4311.0,UNKNOWN,47.9,False,False,False
MDM010975,2025-04-19,SCH0329,S. Agro Works,Mustard Oil,16600.0,Grams,1992.0,PAID,16.6,False,False,False
MDM002616,2026-02-10,SCH0295,Singh Brothers,Dal,17400.0,Grams,1566.0,PAID,17.4,False,False,False
MDM009238,2026-02-09,SCH0053,Sharma & Sons,Rice,31.1,Kg,1244.0,UNKNOWN,31.1,False,False,False
MDM003882,2025-04-25,SCH0426,Goyal Rice Mill,Wheat,28000.0,Grams,840.0,PAID,28.0,False,False,False
MDM005266,2025-04-04,SCH0494,kumar general store,Cooking Oil,48.1,Kg,5772.0,UNKNOWN,48.1,False,False,True
MDM008835,2026-01-21,SCH0113,Sharma Traders,Rice,59.0,Kg,2360.0,PENDING,59.0,False,False,False
MDM011468,2026-03-24,SCH0094,Sharma Traders,Dal,0.51,Sacks,2295.0,DUE,25.5,False,False,False
MDM006795,2026-03-20,SCH0445,S. Agro Works,Rice,0.484,Sacks,968.0,UNKNOWN,24.2,False,False,False
MDM000829,2025-05-22,SCH0445,Kumar Supplies,Rice,42.2,Kg,1688.0,UNKNOWN,42.2,False,False,False
MDM009677,2026-01-25,SCH0201,Singh Brothers,Mustard Oil,48.4,Kg,5808.0,UNKNOWN,48.4,False,False,True
MDM004339,2025-05-11,SCH0340,Goyal Enterprises,Cooking Oil,0.328,Bags,1967.0,UNKNOWN,16.400000000000002,False,False,False
MDM007788,2025-05-06,SCH0018,Singh Agro,Cooking Oil,1.062,Sacks,6372.0,PENDING,53.1,False,False,False
MDM008820,2026-01-26,SCH0419,Goyal Enterprises,Wheat,15.8,Kg,474.0,DUE,15.8,False,False,False
MDM001458,2025-12-29,SCH0216,Sharma & Sons,Wheat,59.6,Kg,1788.0,UNKNOWN,59.6,False,False,True
MDM002665,2025-10-12,SCH0245,Kumar Supplies,Mustard Oil,0.382,Bags,2292.0,UNKNOWN,19.1,False,False,True
MDM005509,2025-08-03,SCH0023,Kumar Supplies,Lentils,,,4608.0,UNKNOWN,,True,False,False
MDM000750,2025-11-26,SCH0306,Kumar Supplies,Dal,,,3402.0,PAID,,True,False,False
MDM006299,2025-11-25,SCH0566,goyal mill,Lentils,40.0,Kg,3600.0,DUE,40.0,False,False,False
MDM006692,2025-07-16,SCH0476,Singh Agro,Cooking Oil,49600.0,Grams,5952.0,UNKNOWN,49.6,False,False,True
MDM008599,2025-06-29,SCH0259,S. Agro Works,Dal,35100.0,Grams,3159.0,PENDING,35.1,False,False,False
MDM009422,2026-12-03,SCH0187,Goyal Enterprises,Pulses,47.3,Kg,4257.0,PAID,47.3,False,False,False
MDM004886,2025-07-29,SCH0558,Singh Brothers,Wheat,,,1329.0,DUE,,True,False,False
MDM011213,2026-03-19,SCH0058,Singh Brothers,Wheat,55.7,Kg,1671.0,UNKNOWN,55.7,False,False,False
